codigo,descricao,grupo,total_movimento,data_baixa,estoque_minimo,tempo_reposicao,ano,mes
554,ELE SIMPLES C/CLICK PR,INJETADOS,100,2024-04-24 00:00:00.000,106,12,2024,4
563,"PARAF CAB INJ 3,5X25 PR (COPO ELETRON)",INJETADOS,100,2024-04-24 00:00:00.000,150,12,2024,4
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,100,2024-04-24 00:00:00.000,10453,30,2024,4
7170,CONJ.8335/8336 BR (LENTE+QUADRO),INJETADOS,6,2025-07-23 00:00:00.000,702,12,2025,7
9515,BRACO INJ ARANDE SEX MARROM,INJETADOS,5,2024-05-14 00:00:00.000,219,12,2024,5
672,"SACO PEBD LISO 27X38X0,08 BARRA 2",EMBALAGEM,6,2025-07-23 00:00:00.000,2000,20,2025,7
1018,CX SIMPLES MASTER 335x316x323 REF-8273,EMBALAGEM,"1,5",2025-07-23 00:00:00.000,60,7,2025,7
4760,CONJ DISCO INJ BRANCO TEXT P/ LANT 340,MONTADOS,6,2025-07-23 00:00:00.000,220,7,2025,7
5218,CARTELA CLICK PADRAO DUPLEX 300GR VERNIZ,EMBALAGEM,6,2025-07-23 00:00:00.000,3000,7,2025,7
7146,CONJ PENDENTE BRANCO 8335 ASPEN,MONTADOS,6,2025-07-23 00:00:00.000,130,7,2025,7
5554,LENTE INJ REDONDA  MINESSOTA,INJETADOS,5,2024-05-14 00:00:00.000,400,12,2024,5
7721,TRAVESSA INJ DUPLA 2 PARAF M4,MONTADOS,5,2024-05-14 00:00:00.000,1785,12,2024,5
9288,PORCA PASSANTE MARROM INJETADA,INJETADOS,10,2024-05-14 00:00:00.000,490,12,2024,5
9511,QUADRO INJ RED LIN MINESOTA MARROM,INJETADOS,5,2024-05-14 00:00:00.000,130,17,2024,5
9513,BOLA INJ P/ LANTER SEX S/ F MARROM,INJETADOS,5,2024-05-14 00:00:00.000,118,12,2024,5
9514,CHAPEU INJ RED LIN MINESOTA MARROM,INJETADOS,5,2024-05-14 00:00:00.000,100,12,2024,5
7179,CABO 35 CM PARAL PR,ELÉTRICO,100,2024-04-24 00:00:00.000,262,15,2024,4
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,10,2024-05-14 00:00:00.000,10453,30,2024,5
1176,CX SIMPLES MASTER 430x380x400- REF.8119,EMBALAGEM,"0,625",2024-05-14 00:00:00.000,45,7,2024,5
2960,CONJ SOQ 26 CM PARAL PR S/ CHAPINHA,MONTADOS,5,2024-05-14 00:00:00.000,600,7,2024,5
4628,"SACO PE LISO 35x50X0,08- 8343-8348-8349",EMBALAGEM,5,2024-05-14 00:00:00.000,300,2,2024,5
5218,CARTELA CLICK PADRAO DUPLEX 300GR VERNIZ,EMBALAGEM,5,2024-05-14 00:00:00.000,3000,7,2024,5
10171,ARRUELA MEIA LUA3MM ROSCA M10 BANHADA,ALUMINIO,8,2024-08-16 00:00:00.000,0,0,2024,8
506,"PARAF AA CAB PAN PHIL 2,9X9,5 ZB",FIXAÇÃO,8,2025-07-16 00:00:00.000,3000,3,2025,7
517,LENTE GR QUADRADA C/ TEXTURA,INJETADOS,16,2025-07-16 00:00:00.000,900,12,2025,7
573,BOLA QUADRADA S/FURO PRETA,INJETADOS,4,2025-07-16 00:00:00.000,350,12,2025,7
577,CHAPEU INJ GR QUADRADO PRETO,INJETADOS,4,2025-07-16 00:00:00.000,300,12,2025,7
579,QUADRO INJ P/ LANTER QUADRA PR,INJETADOS,4,2025-07-16 00:00:00.000,400,12,2025,7
849,"PONTEIRA INTERNA PR 1""",INJETADOS,4,2025-07-16 00:00:00.000,500,7,2025,7
955,CONJ SOQ 90 CM PARALELO PR,MONTADOS,4,2025-07-16 00:00:00.000,200,7,2025,7
993,"PONTEIRA INTERNA PR 2""",INJETADOS,2,2025-07-16 00:00:00.000,500,7,2025,7
2540,CABECA AL PINTADA  117 PRETA,PINTURA,2,2025-07-16 00:00:00.000,80,1,2025,7
2570,"BASE ALUMINIO 2""X580MM PRETO",PINTURA,2,2025-07-16 00:00:00.000,100,1,2025,7
2579,"TUBO AL 2""X580MM EST PR LISO",PINTURA,4,2025-07-16 00:00:00.000,40,1,2025,7
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,16,2024-11-04 00:00:00.000,10453,30,2024,11
5218,CARTELA CLICK PADRAO DUPLEX 300GR VERNIZ,EMBALAGEM,"0,16",2024-11-04 00:00:00.000,3000,7,2024,11
9677,FUNDO ARAN 15 CM LINHA DUBLIN PRETO,INJETADOS,16,2024-11-04 00:00:00.000,86,12,2024,11
10133,"SACO PEBD LISO 23X34X0,08",EMBALAGEM,16,2024-11-04 00:00:00.000,1000,25,2024,11
10134,CX  MASTER  425X340X165 REF:351,EMBALAGEM,"1,2848",2024-11-04 00:00:00.000,23,7,2024,11
10135,LENTE INJ ARANDELA 15CM LEITOSA,INJETADOS,16,2024-11-04 00:00:00.000,200,12,2024,11
10137,GRADE ARANDELA 15CM HORIZONTAL PRETO,INJETADOS,16,2024-11-04 00:00:00.000,35,12,2024,11
10342,CONJ SOQ 15 CM PRETO,MONTADOS,16,2024-11-04 00:00:00.000,600,7,2024,11
1016,CX MASTER 400x370x405 REF 8270/ 8271,EMBALAGEM,"1,512",2024-05-28 00:00:00.000,70,7,2024,5
7117,CX PAP SIMPLES KRAFT REF: 8336,EMBALAGEM,18,2024-05-28 00:00:00.000,1000,7,2024,5
7145,CONJ ARANDELA MARROM 8336 ASPEN,MONTADOS,18,2024-05-28 00:00:00.000,270,7,2024,5
